"행정구역","2025년10월_계_총인구수","2025년10월_계_연령구간인구수","2025년10월_계_0세","2025년10월_계_1세","2025년10월_계_2세","2025년10월_계_3세","2025년10월_계_4세","2025년10월_계_5세","2025년10월_계_6세","2025년10월_계_7세","2025년10월_계_8세","2025년10월_계_9세","2025년10월_계_10세","2025년10월_계_11세","2025년10월_계_12세","2025년10월_계_13세","2025년10월_계_14세","2025년10월_계_15세","2025년10월_계_16세","2025년10월_계_17세","2025년10월_계_18세","2025년10월_계_19세","2025년10월_계_20세","2025년10월_계_21세","2025년10월_계_22세","2025년10월_계_23세","2025년10월_계_24세","2025년10월_계_25세","2025년10월_계_26세","2025년10월_계_27세","2025년10월_계_28세","2025년10월_계_29세","2025년10월_계_30세","2025년10월_계_31세","2025년10월_계_32세","2025년10월_계_33세","2025년10월_계_34세","2025년10월_계_35세","2025년10월_계_36세","2025년10월_계_37세","2025년10월_계_38세","2025년10월_계_39세","2025년10월_계_40세","2025년10월_계_41세","2025년10월_계_42세","2025년10월_계_43세","2025년10월_계_44세","2025년10월_계_45세","2025년10월_계_46세","2025년10월_계_47세","2025년10월_계_48세","2025년10월_계_49세","2025년10월_계_50세","2025년10월_계_51세","2025년10월_계_52세","2025년10월_계_53세","2025년10월_계_54세","2025년10월_계_55세","2025년10월_계_56세","2025년10월_계_57세","2025년10월_계_58세","2025년10월_계_59세","2025년10월_계_60세","2025년10월_계_61세","2025년10월_계_62세","2025년10월_계_63세","2025년10월_계_64세","2025년10월_계_65세","2025년10월_계_66세","2025년10월_계_67세","2025년10월_계_68세","2025년10월_계_69세","2025년10월_계_70세","2025년10월_계_71세","2025년10월_계_72세","2025년10월_계_73세","2025년10월_계_74세","2025년10월_계_75세","2025년10월_계_76세","2025년10월_계_77세","2025년10월_계_78세","2025년10월_계_79세","2025년10월_계_80세","2025년10월_계_81세","2025년10월_계_82세","2025년10월_계_83세","2025년10월_계_84세","2025년10월_계_85세","2025년10월_계_86세","2025년10월_계_87세","2025년10월_계_88세","2025년10월_계_89세","2025년10월_계_90세","2025년10월_계_91세","2025년10월_계_92세","2025년10월_계_93세","2025년10월_계_94세","2025년10월_계_95세","2025년10월_계_96세","2025년10월_계_97세","2025년10월_계_98세","2025년10월_계_99세","2025년10월_계_100세 이상","2025년10월_남_총인구수","2025년10월_남_연령구간인구수","2025년10월_남_0세","2025년10월_남_1세","2025년10월_남_2세","2025년10월_남_3세","2025년10월_남_4세","2025년10월_남_5세","2025년10월_남_6세","2025년10월_남_7세","2025년10월_남_8세","2025년10월_남_9세","2025년10월_남_10세","2025년10월_남_11세","2025년10월_남_12세","2025년10월_남_13세","2025년10월_남_14세","2025년10월_남_15세","2025년10월_남_16세","2025년10월_남_17세","2025년10월_남_18세","2025년10월_남_19세","2025년10월_남_20세","2025년10월_남_21세","2025년10월_남_22세","2025년10월_남_23세","2025년10월_남_24세","2025년10월_남_25세","2025년10월_남_26세","2025년10월_남_27세","2025년10월_남_28세","2025년10월_남_29세","2025년10월_남_30세","2025년10월_남_31세","2025년10월_남_32세","2025년10월_남_33세","2025년10월_남_34세","2025년10월_남_35세","2025년10월_남_36세","2025년10월_남_37세","2025년10월_남_38세","2025년10월_남_39세","2025년10월_남_40세","2025년10월_남_41세","2025년10월_남_42세","2025년10월_남_43세","2025년10월_남_44세","2025년10월_남_45세","2025년10월_남_46세","2025년10월_남_47세","2025년10월_남_48세","2025년10월_남_49세","2025년10월_남_50세","2025년10월_남_51세","2025년10월_남_52세","2025년10월_남_53세","2025년10월_남_54세","2025년10월_남_55세","2025년10월_남_56세","2025년10월_남_57세","2025년10월_남_58세","2025년10월_남_59세","2025년10월_남_60세","2025년10월_남_61세","2025년10월_남_62세","2025년10월_남_63세","2025년10월_남_64세","2025년10월_남_65세","2025년10월_남_66세","2025년10월_남_67세","2025년10월_남_68세","2025년10월_남_69세","2025년10월_남_70세","2025년10월_남_71세","2025년10월_남_72세","2025년10월_남_73세","2025년10월_남_74세","2025년10월_남_75세","2025년10월_남_76세","2025년10월_남_77세","2025년10월_남_78세","2025년10월_남_79세","2025년10월_남_80세","2025년10월_남_81세","2025년10월_남_82세","2025년10월_남_83세","2025년10월_남_84세","2025년10월_남_85세","2025년10월_남_86세","2025년10월_남_87세","2025년10월_남_88세","2025년10월_남_89세","2025년10월_남_90세","2025년10월_남_91세","2025년10월_남_92세","2025년10월_남_93세","2025년10월_남_94세","2025년10월_남_95세","2025년10월_남_96세","2025년10월_남_97세","2025년10월_남_98세","2025년10월_남_99세","2025년10월_남_100세 이상","2025년10월_여_총인구수","2025년10월_여_연령구간인구수","2025년10월_여_0세","2025년10월_여_1세","2025년10월_여_2세","2025년10월_여_3세","2025년10월_여_4세","2025년10월_여_5세","2025년10월_여_6세","2025년10월_여_7세","2025년10월_여_8세","2025년10월_여_9세","2025년10월_여_10세","2025년10월_여_11세","2025년10월_여_12세","2025년10월_여_13세","2025년10월_여_14세","2025년10월_여_15세","2025년10월_여_16세","2025년10월_여_17세","2025년10월_여_18세","2025년10월_여_19세","2025년10월_여_20세","2025년10월_여_21세","2025년10월_여_22세","2025년10월_여_23세","2025년10월_여_24세","2025년10월_여_25세","2025년10월_여_26세","2025년10월_여_27세","2025년10월_여_28세","2025년10월_여_29세","2025년10월_여_30세","2025년10월_여_31세","2025년10월_여_32세","2025년10월_여_33세","2025년10월_여_34세","2025년10월_여_35세","2025년10월_여_36세","2025년10월_여_37세","2025년10월_여_38세","2025년10월_여_39세","2025년10월_여_40세","2025년10월_여_41세","2025년10월_여_42세","2025년10월_여_43세","2025년10월_여_44세","2025년10월_여_45세","2025년10월_여_46세","2025년10월_여_47세","2025년10월_여_48세","2025년10월_여_49세","2025년10월_여_50세","2025년10월_여_51세","2025년10월_여_52세","2025년10월_여_53세","2025년10월_여_54세","2025년10월_여_55세","2025년10월_여_56세","2025년10월_여_57세","2025년10월_여_58세","2025년10월_여_59세","2025년10월_여_60세","2025년10월_여_61세","2025년10월_여_62세","2025년10월_여_63세","2025년10월_여_64세","2025년10월_여_65세","2025년10월_여_66세","2025년10월_여_67세","2025년10월_여_68세","2025년10월_여_69세","2025년10월_여_70세","2025년10월_여_71세","2025년10월_여_72세","2025년10월_여_73세","2025년10월_여_74세","2025년10월_여_75세","2025년10월_여_76세","2025년10월_여_77세","2025년10월_여_78세","2025년10월_여_79세","2025년10월_여_80세","2025년10월_여_81세","2025년10월_여_82세","2025년10월_여_83세","2025년10월_여_84세","2025년10월_여_85세","2025년10월_여_86세","2025년10월_여_87세","2025년10월_여_88세","2025년10월_여_89세","2025년10월_여_90세","2025년10월_여_91세","2025년10월_여_92세","2025년10월_여_93세","2025년10월_여_94세","2025년10월_여_95세","2025년10월_여_96세","2025년10월_여_97세","2025년10월_여_98세","2025년10월_여_99세","2025년10월_여_100세 이상"
"서울특별시  (1100000000)","9,313,532","9,313,532","42,805","38,902","37,749","40,274","42,195","43,749","47,972","51,156","55,532","63,427","66,699","66,898","68,213","74,186","72,644","71,620","69,374","74,585","78,142","77,368","80,721","91,574","97,320","105,959","125,218","144,021","144,488","153,348","160,777","164,198","164,821","166,122","163,773","162,612","150,979","139,599","133,160","127,940","125,536","124,790","125,180","127,921","138,448","147,236","147,248","149,071","141,731","127,631","133,394","130,488","136,461","148,417","150,377","153,209","162,233","154,695","154,021","148,550","135,717","129,433","134,457","127,064","133,569","133,485","144,548","146,669","133,410","125,584","125,102","114,439","120,406","99,470","88,722","94,782","66,954","74,578","74,932","71,968","72,501","54,901","51,193","49,594","47,844","52,956","39,560","33,346","30,365","25,159","20,971","17,273","14,300","10,793","8,217","6,414","4,344","3,539","2,747","1,896","1,359","736","1,478","4,489,067","4,489,067","22,010","19,806","19,334","20,592","21,639","22,610","24,945","26,368","28,350","32,324","34,026","34,260","35,219","38,071","37,235","36,821","35,432","38,210","39,746","38,457","38,708","42,623","45,309","48,990","57,802","66,210","67,435","71,556","75,554","79,148","81,147","82,979","82,469","81,374","76,039","70,380","67,129","63,876","62,043","62,135","62,246","63,560","68,813","72,527","73,571","73,208","69,655","62,716","65,073","64,587","67,034","73,432","73,407","76,209","80,207","76,092","75,953","72,266","65,526","64,592","64,984","61,514","65,041","64,898","68,004","68,172","62,673","58,944","58,169","52,689","54,714","45,742","40,340","43,295","30,400","33,575","33,234","32,128","31,722","23,840","22,190","21,234","20,330","22,417","16,518","13,167","11,688","9,460","7,438","5,901","4,584","3,214","2,340","1,776","1,065","764","710","439","262","138","319","4,824,465","4,824,465","20,795","19,096","18,415","19,682","20,556","21,139","23,027","24,788","27,182","31,103","32,673","32,638","32,994","36,115","35,409","34,799","33,942","36,375","38,396","38,911","42,013","48,951","52,011","56,969","67,416","77,811","77,053","81,792","85,223","85,050","83,674","83,143","81,304","81,238","74,940","69,219","66,031","64,064","63,493","62,655","62,934","64,361","69,635","74,709","73,677","75,863","72,076","64,915","68,321","65,901","69,427","74,985","76,970","77,000","82,026","78,603","78,068","76,284","70,191","64,841","69,473","65,550","68,528","68,587","76,544","78,497","70,737","66,640","66,933","61,750","65,692","53,728","48,382","51,487","36,554","41,003","41,698","39,840","40,779","31,061","29,003","28,360","27,514","30,539","23,042","20,179","18,677","15,699","13,533","11,372","9,716","7,579","5,877","4,638","3,279","2,775","2,037","1,457","1,097","598","1,159"
"서울특별시 종로구 (1111000000)","137,449","137,449","426","432","419","458","453","511","518","550","645","740","800","794","829","931","885","910","893","985","1,104","1,144","1,233","1,456","1,590","1,770","2,052","2,452","2,428","2,446","2,485","2,469","2,380","2,388","2,339","2,319","2,021","1,895","1,712","1,600","1,684","1,521","1,715","1,661","1,830","1,918","1,989","1,966","1,896","1,730","1,779","1,812","1,902","2,118","2,266","2,345","2,567","2,542","2,429","2,401","2,293","2,059","2,203","2,118","2,234","2,145","2,408","2,221","2,062","1,869","1,939","1,765","1,818","1,524","1,344","1,408","958","1,078","1,159","1,130","1,149","894","891","908","818","961","754","636","604","542","421","368","301","246","177","139","109","71","56","42","34","23","37","65,925","65,925","223","230","211","239","232","273","248","271","325","388","401","366","422","455","425","455","443","489","531","548","551","620","710","787","977","1,130","1,100","1,107","1,223","1,273","1,186","1,174","1,222","1,183","1,012","948","850","803","761","740","833","809","936","934","934","913","912","838","800","901","911","1,039","1,065","1,170","1,337","1,244","1,198","1,151","1,120","1,007","1,113","1,057","1,143","1,122","1,185","1,038","1,058","926","974","852","887","741","640","684","427","477","506","501","506","372","375","357","338","378","307","258","226","218","146","143","95","80","61","49","32","19","16","9","5","7","13","71,524","71,524","203","202","208","219","221","238","270","279","320","352","399","428","407","476","460","455","450","496","573","596","682","836","880","983","1,075","1,322","1,328","1,339","1,262","1,196","1,194","1,214","1,117","1,136","1,009","947","862","797","923","781","882","852","894","984","1,055","1,053","984","892","979","911","991","1,079","1,201","1,175","1,230","1,298","1,231","1,250","1,173","1,052","1,090","1,061","1,091","1,023","1,223","1,183","1,004","943","965","913","931","783","704","724","531","601","653","629","643","522","516","551","480","583","447","378","378","324","275","225","206","166","116","90","77","52","40","33","29","16","24"
"서울특별시 중구 (1114000000)","118,331","118,331","564","498","415","510","512","468","468","478","513","579","540","562","521","563","539","532","507","626","671","765","822","1,026","1,130","1,244","1,547","1,868","1,811","2,039","2,173","2,240","2,286","2,446","2,473","2,400","2,243","2,062","1,990","1,894","1,762","1,681","1,676","1,688","1,809","1,699","1,692","1,727","1,590","1,447","1,441","1,397","1,522","1,666","1,699","1,815","2,003","1,940","1,971","1,973","1,757","1,656","1,751","1,769","1,828","1,801","1,937","1,984","1,810","1,716","1,724","1,655","1,690","1,353","1,199","1,284","904","1,049","1,045","1,014","1,048","771","758","768","729","829","649","549","513","400","348","307","248","195","155","104","87","56","60","42","32","14","20","56,829","56,829","301","265","218","248","240","249","239","238","267","296","279","285","252","315","257","295","251","295","322","345","392","425","488","586","726","823","783","850","965","1,042","1,087","1,206","1,217","1,190","1,123","1,016","1,026","897","959","827","831","836","912","833","859","872","810","751","702","716","782","841","774","895","1,002","951","1,042","976","893","884","837","873","932","919","980","958","897","818","862","824","793","658","558","601","434","478","464","468","437","299","316","306","297","334","242","204","198","133","102","94","75","49","35","25","27","10","19","12","5","2","7","61,502","61,502","263","233","197","262","272","219","229","240","246","283","261","277","269","248","282","237","256","331","349","420","430","601","642","658","821","1,045","1,028","1,189","1,208","1,198","1,199","1,240","1,256","1,210","1,120","1,046","964","997","803","854","845","852","897","866","833","855","780","696","739","681","740","825","925","920","1,001","989","929","997","864","772","914","896","896","882","957","1,026","913","898","862","831","897","695","641","683","470","571","581","546","611","472","442","462","432","495","407","345","315","267","246","213","173","146","120","79","60","46","41","30","27","12","13"
"서울특별시 용산구 (1117000000)","202,507","202,507","1,059","910","889","903","920","962","1,038","993","1,050","1,184","1,145","1,206","1,180","1,289","1,194","1,288","1,227","1,286","1,454","1,389","1,595","1,870","1,954","2,143","2,499","2,933","2,974","3,304","3,672","3,863","4,150","4,237","4,247","4,208","4,019","3,721","3,386","3,217","3,034","3,098","2,994","2,893","3,065","3,221","3,115","3,177","2,773","2,559","2,628","2,607","2,815","3,061","3,079","3,432","3,626","3,475","3,485","3,274","3,009","2,745","3,017","2,817","3,074","2,951","3,054","3,034","2,803","2,588","2,590","2,416","2,394","1,998","1,782","1,772","1,293","1,461","1,461","1,457","1,375","1,131","1,101","1,064","1,039","1,220","914","811","754","715","577","496","384","321","237","198","131","101","91","52","32","25","53","96,459","96,459","537","452","445","450","495","490","534","482","513","602","578","617","604","696","627","671","618","648","721","664","689","855","825","899","1,074","1,278","1,341","1,508","1,702","1,786","1,981","2,041","2,065","2,089","1,997","1,827","1,676","1,619","1,469","1,489","1,497","1,472","1,555","1,606","1,609","1,543","1,358","1,261","1,241","1,203","1,344","1,529","1,460","1,606","1,747","1,669","1,738","1,605","1,452","1,397","1,454","1,403","1,503","1,495","1,485","1,465","1,351","1,280","1,238","1,156","1,136","929","850","772","595","655","670","644","550","441","461","399","421","485","374","308","279","244","202","149","126","104","77","61","47","29","29","15","5","7","19","106,048","106,048","522","458","444","453","425","472","504","511","537","582","567","589","576","593","567","617","609","638","733","725","906","1,015","1,129","1,244","1,425","1,655","1,633","1,796","1,970","2,077","2,169","2,196","2,182","2,119","2,022","1,894","1,710","1,598","1,565","1,609","1,497","1,421","1,510","1,615","1,506","1,634","1,415","1,298","1,387","1,404","1,471","1,532","1,619","1,826","1,879","1,806","1,747","1,669","1,557","1,348","1,563","1,414","1,571","1,456","1,569","1,569","1,452","1,308","1,352","1,260","1,258","1,069","932","1,000","698","806","791","813","825","690","640","665","618","735","540","503","475","471","375","347","258","217","160","137","84","72","62","37","27","18","34"
"서울특별시 성동구 (1120000000)","274,424","274,424","1,778","1,516","1,382","1,538","1,493","1,490","1,535","1,585","1,596","1,724","1,698","1,727","1,617","1,647","1,562","1,521","1,551","1,773","1,978","2,189","2,415","2,760","3,004","3,269","3,884","4,460","4,367","4,558","4,639","4,838","5,004","5,004","5,214","5,289","4,978","4,870","4,596","4,444","4,295","4,165","4,137","4,082","4,261","4,394","4,193","4,170","3,812","3,410","3,552","3,541","3,714","4,153","4,304","4,313","4,779","4,684","4,595","4,534","4,015","3,838","4,000","3,771","4,024","4,048","4,231","4,328","3,746","3,549","3,543","3,161","3,240","2,718","2,337","2,467","1,839","2,030","1,979","1,929","2,003","1,561","1,460","1,420","1,447","1,544","1,158","1,014","887","762","662","545","401","341","234","182","113","102","72","47","48","12","35","132,555","132,555","889","773","716","813","777","777","817","790","836","888","865","859","817","811","765","767","786","886","977","1,034","1,083","1,238","1,334","1,542","1,909","2,201","2,151","2,195","2,199","2,340","2,460","2,412","2,545","2,581","2,482","2,433","2,222","2,154","2,113","2,134","2,093","2,089","2,175","2,293","2,081","2,080","1,875","1,625","1,736","1,776","1,736","1,990","2,126","2,105","2,268","2,313","2,232","2,289","1,995","1,914","1,946","1,883","1,977","2,078","2,077","2,119","1,805","1,750","1,688","1,486","1,476","1,276","1,107","1,141","830","910","864","845","867","630","592","590","589","636","461","374","332","265","213","159","122","107","60","49","21","22","15","13","8","1","9","141,869","141,869","889","743","666","725","716","713","718","795","760","836","833","868","800","836","797","754","765","887","1,001","1,155","1,332","1,522","1,670","1,727","1,975","2,259","2,216","2,363","2,440","2,498","2,544","2,592","2,669","2,708","2,496","2,437","2,374","2,290","2,182","2,031","2,044","1,993","2,086","2,101","2,112","2,090","1,937","1,785","1,816","1,765","1,978","2,163","2,178","2,208","2,511","2,371","2,363","2,245","2,020","1,924","2,054","1,888","2,047","1,970","2,154","2,209","1,941","1,799","1,855","1,675","1,764","1,442","1,230","1,326","1,009","1,120","1,115","1,084","1,136","931","868","830","858","908","697","640","555","497","449","386","279","234","174","133","92","80","57","34","40","11","26"
"서울특별시 광진구 (1121500000)","331,786","331,786","1,242","1,141","1,076","1,141","1,254","1,258","1,435","1,551","1,566","1,907","2,027","2,019","2,139","2,311","2,281","2,293","2,183","2,378","2,591","2,670","2,939","3,477","4,124","4,426","5,588","6,647","6,537","7,093","7,217","7,433","7,181","6,973","6,804","6,409","5,778","5,269","4,841","4,583","4,444","4,393","4,400","4,288","4,649","5,002","4,890","4,968","4,740","4,227","4,596","4,338","4,612","4,924","5,034","5,281","5,613","5,467","5,408","5,369","4,913","4,677","4,827","4,496","4,741","4,746","5,016","5,146","4,550","4,374","4,191","3,817","3,963","3,171","2,827","3,149","2,093","2,292","2,345","2,324","2,341","1,746","1,568","1,665","1,510","1,692","1,302","1,083","981","811","669","530","467","376","268","214","119","107","91","52","51","17","43","158,814","158,814","641","589","545","580","639","626","741","782","806","986","1,030","1,067","1,084","1,192","1,129","1,197","1,108","1,209","1,253","1,284","1,339","1,487","1,813","2,024","2,582","3,027","3,033","3,246","3,332","3,514","3,466","3,399","3,380","3,217","2,954","2,646","2,458","2,283","2,195","2,133","2,166","2,115","2,304","2,377","2,384","2,418","2,303","2,132","2,264","2,097","2,270","2,390","2,437","2,611","2,719","2,612","2,585","2,599","2,376","2,255","2,360","2,200","2,398","2,337","2,359","2,437","2,132","2,076","1,996","1,752","1,806","1,493","1,303","1,407","943","1,030","1,070","1,031","1,031","803","693","717","628","727","547","455","407","323","245","169","142","116","74","58","34","18","24","11","17","2","13","172,972","172,972","601","552","531","561","615","632","694","769","760","921","997","952","1,055","1,119","1,152","1,096","1,075","1,169","1,338","1,386","1,600","1,990","2,311","2,402","3,006","3,620","3,504","3,847","3,885","3,919","3,715","3,574","3,424","3,192","2,824","2,623","2,383","2,300","2,249","2,260","2,234","2,173","2,345","2,625","2,506","2,550","2,437","2,095","2,332","2,241","2,342","2,534","2,597","2,670","2,894","2,855","2,823","2,770","2,537","2,422","2,467","2,296","2,343","2,409","2,657","2,709","2,418","2,298","2,195","2,065","2,157","1,678","1,524","1,742","1,150","1,262","1,275","1,293","1,310","943","875","948","882","965","755","628","574","488","424","361","325","260","194","156","85","89","67","41","34","15","30"
"서울특별시 동대문구 (1123000000)","344,357","344,357","1,715","1,587","1,581","1,572","1,614","1,690","1,770","1,792","1,917","2,074","2,148","2,089","2,111","2,240","2,201","2,075","2,078","2,293","2,415","3,051","3,606","4,192","4,839","5,457","6,345","6,552","6,148","6,185","6,045","5,944","5,905","5,930","5,822","5,809","5,593","5,008","4,975","4,621","4,671","4,523","4,514","4,578","5,060","5,218","5,182","5,060","4,743","4,364","4,458","4,309","4,733","5,077","5,080","5,464","5,715","5,533","5,528","5,253","4,987","4,804","4,872","4,561","4,864","4,896","5,323","5,485","4,956","4,682","4,640","4,273","4,448","3,694","3,286","3,561","2,547","2,777","2,724","2,724","2,849","2,182","2,067","2,001","2,041","2,166","1,643","1,343","1,242","1,054","838","693","540","418","319","244","146","129","109","57","48","16","56","167,961","167,961","898","838","803","803","812","845","850","896","988","1,052","1,069","1,073","1,115","1,140","1,128","1,077","1,055","1,130","1,236","1,470","1,590","1,683","2,046","2,513","2,987","3,132","3,075","3,021","2,910","2,930","2,947","3,022","2,955","2,927","2,893","2,559","2,544","2,320","2,433","2,343","2,282","2,377","2,552","2,661","2,697","2,586","2,425","2,241","2,270","2,170","2,456","2,577","2,510","2,787","2,852","2,756","2,729","2,652","2,480","2,511","2,455","2,311","2,417","2,458","2,591","2,626","2,385","2,282","2,187","2,040","2,066","1,734","1,544","1,601","1,157","1,311","1,196","1,149","1,199","945","880","782","866","890","694","497","470","388","306","253","176","131","86","69","40","32","33","14","8","1","12","176,396","176,396","817","749","778","769","802","845","920","896","929","1,022","1,079","1,016","996","1,100","1,073","998","1,023","1,163","1,179","1,581","2,016","2,509","2,793","2,944","3,358","3,420","3,073","3,164","3,135","3,014","2,958","2,908","2,867","2,882","2,700","2,449","2,431","2,301","2,238","2,180","2,232","2,201","2,508","2,557","2,485","2,474","2,318","2,123","2,188","2,139","2,277","2,500","2,570","2,677","2,863","2,777","2,799","2,601","2,507","2,293","2,417","2,250","2,447","2,438","2,732","2,859","2,571","2,400","2,453","2,233","2,382","1,960","1,742","1,960","1,390","1,466","1,528","1,575","1,650","1,237","1,187","1,219","1,175","1,276","949","846","772","666","532","440","364","287","233","175","106","97","76","43","40","15","44"
"서울특별시 중랑구 (1126000000)","377,054","377,054","1,713","1,530","1,558","1,531","1,492","1,491","1,676","1,786","1,881","2,128","2,213","2,079","2,173","2,343","2,341","2,294","2,205","2,416","2,521","2,530","2,640","3,028","3,291","3,603","4,372","5,062","5,137","5,598","6,113","6,416","6,481","6,799","6,702","6,718","6,146","5,535","5,300","5,036","4,887","4,923","4,812","4,923","5,127","5,564","5,426","5,703","5,235","4,629","4,885","4,706","5,056","5,643","5,822","5,990","6,718","6,482","6,728","6,880","6,455","6,241","6,452","6,131","6,477","6,682","7,272","7,272","6,430","6,076","5,939","5,398","5,656","4,729","4,056","4,361","3,094","3,370","3,383","3,220","3,246","2,428","2,251","2,245","2,153","2,435","1,800","1,493","1,340","1,058","847","750","590","429","354","254","181","153","97","88","53","33","65","184,215","184,215","899","780","783","744","758","797","829","922","928","1,091","1,150","1,071","1,128","1,214","1,183","1,208","1,109","1,200","1,317","1,313","1,301","1,429","1,548","1,676","2,051","2,325","2,380","2,658","2,901","3,101","3,199","3,361","3,411","3,391","3,168","2,850","2,736","2,628","2,490","2,558","2,501","2,570","2,673","2,833","2,879","3,000","2,746","2,399","2,514","2,480","2,545","2,837","2,904","2,985","3,363","3,203","3,288","3,227","3,123","3,098","3,189","2,994","3,168","3,275","3,478","3,501","3,143","2,913","2,819","2,580","2,633","2,283","1,864","2,064","1,408","1,543","1,495","1,424","1,401","1,059","962","936","914","985","770","575","516","384","326","263","178","120","96","69","35","27","22","19","12","5","13","192,839","192,839","814","750","775","787","734","694","847","864","953","1,037","1,063","1,008","1,045","1,129","1,158","1,086","1,096","1,216","1,204","1,217","1,339","1,599","1,743","1,927","2,321","2,737","2,757","2,940","3,212","3,315","3,282","3,438","3,291","3,327","2,978","2,685","2,564","2,408","2,397","2,365","2,311","2,353","2,454","2,731","2,547","2,703","2,489","2,230","2,371","2,226","2,511","2,806","2,918","3,005","3,355","3,279","3,440","3,653","3,332","3,143","3,263","3,137","3,309","3,407","3,794","3,771","3,287","3,163","3,120","2,818","3,023","2,446","2,192","2,297","1,686","1,827","1,888","1,796","1,845","1,369","1,289","1,309","1,239","1,450","1,030","918","824","674","521","487","412","309","258","185","146","126","75","69","41","28","52"
"서울특별시 성북구 (1129000000)","423,705","423,705","1,890","1,796","1,763","1,861","1,953","2,089","2,270","2,356","2,646","3,006","3,154","3,007","2,999","3,370","3,396","3,310","3,184","3,456","3,857","4,274","4,815","5,718","5,973","6,589","7,032","7,241","6,643","6,453","6,424","6,190","6,148","6,211","6,024","6,088","5,769","5,508","5,316","5,269","5,192","5,380","5,381","5,603","6,068","6,323","6,463","6,447","6,393","5,576","5,836","5,978","6,442","7,133","7,405","7,530","7,901","7,691","7,466","7,001","6,443","5,980","6,058","5,822","5,940","5,832","6,424","6,539","5,845","5,651","5,542","5,123","5,345","4,341","3,915","4,253","2,841","3,363","3,481","3,248","3,376","2,659","2,431","2,472","2,427","2,760","2,012","1,800","1,592","1,253","1,067","846","727","534","397","298","224","179","119","111","68","36","74","202,481","202,481","969","951","898","944","1,034","1,062","1,192","1,239","1,352","1,498","1,626","1,513","1,508","1,770","1,732","1,628","1,649","1,786","1,967","1,994","2,150","2,399","2,567","2,959","3,335","3,444","3,265","3,121","3,132","3,005","3,018","3,142","3,086","3,027","2,913","2,764","2,678","2,591","2,524","2,713","2,662","2,816","3,029","3,151","3,238","3,164","3,068","2,729","2,876","2,887","3,074","3,483","3,563","3,690","3,909","3,774","3,710","3,508","3,156","2,993","2,947","2,784","2,840","2,757","3,018","2,971","2,776","2,628","2,538","2,358","2,429","1,988","1,747","1,933","1,271","1,458","1,463","1,322","1,438","1,078","984","1,023","1,010","1,128","822","674","590","461","367","275","231","164","119","90","45","45","28","23","12","6","15","221,224","221,224","921","845","865","917","919","1,027","1,078","1,117","1,294","1,508","1,528","1,494","1,491","1,600","1,664","1,682","1,535","1,670","1,890","2,280","2,665","3,319","3,406","3,630","3,697","3,797","3,378","3,332","3,292","3,185","3,130","3,069","2,938","3,061","2,856","2,744","2,638","2,678","2,668","2,667","2,719","2,787","3,039","3,172","3,225","3,283","3,325","2,847","2,960","3,091","3,368","3,650","3,842","3,840","3,992","3,917","3,756","3,493","3,287","2,987","3,111","3,038","3,100","3,075","3,406","3,568","3,069","3,023","3,004","2,765","2,916","2,353","2,168","2,320","1,570","1,905","2,018","1,926","1,938","1,581","1,447","1,449","1,417","1,632","1,190","1,126","1,002","792","700","571","496","370","278","208","179","134","91","88","56","30","59"
"서울특별시 강북구 (1130500000)","279,632","279,632","755","762","808","776","869","938","967","1,133","1,255","1,430","1,472","1,508","1,646","1,762","1,807","1,786","1,809","1,888","2,049","2,207","2,422","2,705","3,099","3,123","3,603","3,954","3,768","3,919","4,017","4,020","3,907","4,050","3,840","3,867","3,571","3,177","3,065","2,963","2,924","2,950","3,010","3,242","3,446","3,918","3,841","4,058","3,838","3,567","3,807","3,766","4,109","4,579","4,889","5,009","5,415","5,155","5,185","5,148","4,767","4,525","4,813","4,401","4,810","4,706","5,263","5,496","4,921","4,594","4,501","4,160","4,458","3,762","3,243","3,632","2,714","2,911","3,074","2,976","3,001","2,206","2,190","2,193","2,105","2,405","1,844","1,389","1,327","1,097","843","756","539","403","276","234","125","123","109","74","47","24","42","134,522","134,522","401","381","391","381","431","494","524","587","618","734","762","754","865","922","918","928","921","958","1,050","1,048","1,038","1,141","1,341","1,384","1,676","1,839","1,757","1,909","1,920","2,025","2,034","2,065","2,055","2,004","1,825","1,704","1,651","1,567","1,533","1,579","1,578","1,737","1,777","2,050","2,046","2,119","2,006","1,817","1,938","1,895","2,071","2,279","2,461","2,561","2,718","2,532","2,492","2,489","2,343","2,205","2,308","2,171","2,401","2,291","2,436","2,499","2,348","2,149","2,149","1,894","2,028","1,672","1,424","1,602","1,182","1,210","1,304","1,243","1,229","892","839","910","823","986","750","529","460","416","307","262","198","121","82","63","31","23","29","14","6","8","4","145,110","145,110","354","381","417","395","438","444","443","546","637","696","710","754","781","840","889","858","888","930","999","1,159","1,384","1,564","1,758","1,739","1,927","2,115","2,011","2,010","2,097","1,995","1,873","1,985","1,785","1,863","1,746","1,473","1,414","1,396","1,391","1,371","1,432","1,505","1,669","1,868","1,795","1,939","1,832","1,750","1,869","1,871","2,038","2,300","2,428","2,448","2,697","2,623","2,693","2,659","2,424","2,320","2,505","2,230","2,409","2,415","2,827","2,997","2,573","2,445","2,352","2,266","2,430","2,090","1,819","2,030","1,532","1,701","1,770","1,733","1,772","1,314","1,351","1,283","1,282","1,419","1,094","860","867","681","536","494","341","282","194","171","94","100","80","60","41","16","38"
